0			10			0			0
1			12			0			0
2			14			0			0
3			16			0			0
4			19			0			0
5			22			0			0
6			26			0			0
7			31			0			0
8			37			0			0
9			44			0			0
10			52			1			0
11			62			2			0
12			74			3			1
13			88			6			3
14			105			11			6
15			126			23			7
16			151			30			10
17			181			52			24
18			217			109			40
19			260			150			61
20			312			229			97
21			374			461			173
22			448			680			297
23			537			1188			499
24			644			1909			741
25			772			3337			1259
26			926			6256			2879
27			1111			12603			4728
